pick	rating
1	27.029
2	20.838
3	22.071
4	21.496
5	20.492
6	16.625
7	18.192
8	14.983
9	17.971
10	16.679
11	13.465
12	11.125
13 	15.362
14	12.538
15	12.496
16	11.248
17	13.446
18	11.804
19	11.6
20	10.483							
21	12.896
22	10.271
23	11.258
24	13.229	
25	10.217
26	10.208
27	9.883
28	9.773
29	9.175
30	10.477
31	8.352
32	6.69
33	6.771
34	8.695
35	7.658
36	7.921
37	8.883
38	7.758
39	8.325
40	8.742
41	8.253
42	8.98
43	9.238
44	7.025
45	9.937
46	7.169
47	9.472
48	8.8
49	7.18	
50	6.133
51	6.227
52	5.489
53	5.575
54	7.144
55	8.209
56	6.555
57	8.543
58	5
59	3.4
60	9.08